Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
CEN A 0028-00000007;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;48;-6;-246000
FEN A 0028-00000099;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;48;6;246000
FEN A 0028-00000210;CORDOBA;05/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;48;2;88600
FEN B 0028-00000130;CORDOBA;24/02/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;48;1;51300
FEN A 0028-00000207;CORDOBA;04/05/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;48;1;44300
FEN A 0028-00000099;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;50;8;328000
CEN A 0028-00000007;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;50;-8;-328000
FEN A 0028-00000020;CORDOBA;12/02/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;C4;50;2;73799,9982
FEN B 0028-00000441;CORDOBA;04/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;50;1;55700
FEN B 0028-00000322;CORDOBA;17/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;50;1;54000
FEN A 0028-00000160;CORDOBA;16/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;50;2;86000
FEN A 0028-00000172;CORDOBA;21/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRAB. H. PAMPERO AZUL CH(36-60);I038;C4;50;2;52600
DEN A 0028-00000001;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;4;84215,9516
FEN A 0028-00000066;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;4;84215,9516
CEN A 0028-00000012;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;-4;-84215,9516
CEN A 0028-00000013;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;-4;-84215,9516
FEN A 0028-00000146;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;4;84215,9516
FEN A 0028-00000064;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;4;84215,9516
CEN A 0028-00000004;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;-4;-84215,9516
CEN A 0028-00000005;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;50;-4;-84215,9516
FEN A 0028-00000100;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;50;8;328000
FEN A 0028-00000101;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;50;8;328000
CEN A 0028-00000008;CORDOBA;25/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;50;-8;-328000
CEN A 0028-00000005;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;-5;-105269,9395
CEN A 0028-00000004;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;-5;-105269,9395
FEN A 0028-00000064;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;5;105269,9395
FEN A 0028-00000146;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;5;105269,9395
CEN A 0028-00000013;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;-5;-105269,9395
CEN A 0028-00000012;CORDOBA;09/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;-5;-105269,9395
FEN A 0028-00000066;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;5;105269,9395
DEN A 0028-00000001;CORDOBA;12/03/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;52;5;105269,9395
FEN A 0028-00000154;CORDOBA;14/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;52;-3;-126900
FEN B 0028-00000352;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON JEAN INDUS. WORKER;I479;C6;58;1;34200
FEN B 0028-00000352;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO GRANDE (56-70);I115;G1;58;1;58000
FEN B 0028-00000655;CORDOBA;25/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO GRANDE (56-70);I115;G1;56;1;60000
FEN B 0028-00000612;CORDOBA;21/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;54;1;56000
FEN A 0028-00000162;CORDOBA;16/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;H5;52;1;56000
FEN B 0028-00000295;CORDOBA;13/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;46;1;54000
FEN B 0028-00000133;CORDOBA;24/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON JEAN INDUS. WORKER;I479;C6;46;1;32490,0008
FEN B 0028-00000534;CORDOBA;13/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;E1;48;1;33400
FEN B 0028-00000534;CORDOBA;13/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;48;1;33400
FEN B 0028-00000591;CORDOBA;18/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;48;1;33400
FEN B 0028-00000382;CORDOBA;25/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;44;1;54000
FEN B 0028-00000040;CORDOBA;07/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;44;1;54000
FEN B 0028-00000502;CORDOBA;10/04/2026;Nicolas Urricelqui;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;44;1;25500
FEN B 0028-00000162;CORDOBA;27/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;C4;42;1;31000
FEN B 0028-00000082;CORDOBA;17/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;38;1;27900
FEN B 0028-00000510;CORDOBA;10/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;38;1;33400
FEN B 0028-00000213;CORDOBA;05/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;38;1;29450
FEN B 0028-00000469;CORDOBA;07/04/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;46;1;56000
FEN B 0028-00000098;CORDOBA;19/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;C4;44;1;51300
FEN B 0028-00000083;CORDOBA;17/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;G1;40;2;102599,9992
FEN B 0028-00000159;CORDOBA;27/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;H1;40;1;29450
FEN B 0028-00000502;CORDOBA;10/04/2026;Nicolas Urricelqui;MAYORISTA;MACATA SA;PANTALON DE TRABAJO HOMBRE PAMPERO CH(36-60);I036;G1;42;1;25500
FEN B 0028-00000073;CORDOBA;13/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZ. CARGO II H. PAMPERO AZUL CH (36-54);I117;C4;40;1;54000
FEN B 0028-00000090;CORDOBA;18/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;38;1;51300
FEN A 0028-00000203;CORDOBA;30/04/2026;Nicolas Urricelqui;MAYORISTA;MACATA SA;PANTALON CAZADOR CARGO II H. PAMPERO CHICO (36-54);I116;E1;38;2;84600
FEN B 0028-00000439;CORDOBA;04/04/2026;Chistian Videla;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;1;69200
FEN A 0028-00000194;CORDOBA;29/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;60;1;69200
FEN B 0028-00000020;CORDOBA;04/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;1;67100
FEN B 0028-00000555;CORDOBA;15/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;60;1;69200
FEN B 0028-00000542;CORDOBA;14/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;50;1;69200
FEN B 0028-00000019;CORDOBA;04/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;1;67100
DEN B 0028-00000001;CORDOBA;05/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;1;67100
CEN B 0028-00000003;CORDOBA;04/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;-1;-67100
CEN B 0028-00000004;CORDOBA;04/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;MAMELUCO MANGA RANGLAN H. PAMPERO AZUL (50-60);I026;C4;54;-1;-67100
FCV B 0001-00000203;CORDOBA2;10/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;50;1;54900
FCV B 0001-00000229;CORDOBA2;17/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO DAMA PAMPERO;I218;G1;40;1;44894,2859
FCV B 0050-00000016;CORDOBA2;24/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;40;1;54899,9986
FCV B 0001-00000074;CORDOBA2;02/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;44;1;53099,9975
FCV B 0050-00000030;CORDOBA2;29/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H2;44;1;54900
FCV B 0001-00000074;CORDOBA2;02/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;42;1;53100,0025
FCV B 0001-00000197;CORDOBA2;08/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;48;1;54900,0008
FCV B 0001-00000197;CORDOBA2;08/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;48;1;54899,9992
FCV B 0001-00000083;CORDOBA2;03/03/2026;Chistian Videla;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;50;1;46100
FCV B 0001-00000083;CORDOBA2;03/03/2026;Chistian Videla;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;50;1;46100
FCV B 0001-00000083;CORDOBA2;03/03/2026;Chistian Videla;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;50;1;46100
FCV B 0001-00000077;CORDOBA2;02/03/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;46;1;53143,0663
FCV B 0001-00000031;CORDOBA2;11/02/2026;Nicolas Urricelqui;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;42;1;0
FCV B 0050-00000018;CORDOBA2;24/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;42;1;54899,9984
FCV B 0001-00000204;CORDOBA2;10/04/2026;Julieta Fernandez;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;46;1;45900
FCV B 0001-00000204;CORDOBA2;10/04/2026;Julieta Fernandez;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;44;-1;-45900
FCV B 0001-00000175;CORDOBA2;30/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;44;-1;-48760,3306
FCV B 0001-00000172;CORDOBA2;30/03/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;44;1;40054,2958
FCV B 0001-00000015;CORDOBA2;06/02/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;39815,7893
FCV B 0001-00000012;CORDOBA2;05/02/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;40049,9985
FCV B 0001-00000012;CORDOBA2;05/02/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;42;1;40050,0015
FCV B 0001-00000038;CORDOBA2;12/02/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;40;1;53100
FCV B 0001-00000163;CORDOBA2;26/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;38;1;53099,9975
FCV B 0001-00000163;CORDOBA2;26/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;38;1;53100,0025
FCV B 0001-00000188;CORDOBA2;06/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;48;1;41324,0553
FCV B 0050-00000025;CORDOBA2;28/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;48;-1;-41299,9276
FCV B 0050-00000025;CORDOBA2;28/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;50;1;41299,9276
FEN B 0028-00000190;CORDOBA;03/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;59000
FEN B 0028-00000280;CORDOBA;12/03/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;40;2;112099,9993
FEN A 0028-00000193;CORDOBA;28/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H2;52;1;61000
FEN B 0028-00000478;CORDOBA;08/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;50;1;61000
FEN B 0028-00000478;CORDOBA;08/04/2026;Chistian Videla;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;50;1;61000
FEN A 0028-00000213;CORDOBA;06/05/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;40;2;95000
FEN A 0028-00000213;CORDOBA;06/05/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;40;3;142500,0046
FEN A 0028-00000213;CORDOBA;06/05/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;40;1;47500
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;40;1;59000
FEN A 0028-00000072;CORDOBA;16/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO DAMA PAMPERO;I218;G1;38;1;48400
FEN B 0028-00000391;CORDOBA;27/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO DAMA PAMPERO;I218;G1;38;1;48400
FEN B 0028-00000747;CORDOBA;06/05/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO DAMA PAMPERO;I218;G1;40;-1;-49900
FEN B 0028-00000446;CORDOBA;06/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO DAMA PAMPERO;I218;G1;38;1;49900
CEN A 0028-00000017;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;38;-3;-137700
FEN A 0028-00000195;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;38;3;137700
FEN A 0028-00000198;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;38;3;137700
FEN B 0028-00000526;CORDOBA;13/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;40;1;61000
FEN A 0028-00000126;CORDOBA;01/04/2026;Sofia Perazzo;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;42;1;46100
FEN B 0028-00000123;CORDOBA;23/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;44;1;56047,4962
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;44;1;46100
FEN A 0028-00000149;CORDOBA;13/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;44;1;47500
FEN B 0028-00000488;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;44;1;61000
FEN A 0028-00000213;CORDOBA;06/05/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;38;2;95000
FEN B 0028-00000488;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;44;1;61000
FEN A 0028-00000149;CORDOBA;13/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;44;1;47500
FEN B 0028-00000335;CORDOBA;19/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;59000
FEN A 0028-00000107;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;59000
FEN A 0028-00000092;CORDOBA;20/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;46100
FEN B 0028-00000527;CORDOBA;13/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;44;1;61000
FEN A 0028-00000177;CORDOBA;22/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;44;1;61000
FEN B 0028-00000335;CORDOBA;19/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;42;1;59000
FEN B 0028-00000465;CORDOBA;07/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;42;1;61000
FEN B 0028-00000056;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;42;2;118000
FEN B 0028-00000679;CORDOBA;28/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H2;42;2;122000
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;54;1;59000
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;54;1;46100
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;52;1;59000
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;52;1;59000
FEN B 0028-00000444;CORDOBA;06/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;52;1;60800
FEN B 0028-00000259;CORDOBA;10/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;52;1;59000
FEN B 0028-00000463;CORDOBA;07/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;52;-1;-61000
FEN B 0028-00000576;CORDOBA;16/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;46;1;61000
FEN A 0028-00000149;CORDOBA;13/04/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;46;1;47500
FEN B 0028-00000576;CORDOBA;16/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;G1;46;1;61000
FEN B 0028-00000134;CORDOBA;24/02/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;46;1;59000
FEN B 0028-00000182;CORDOBA;03/03/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;46;1;56050,0009
FEN A 0028-00000084;CORDOBA;19/03/2026;Julieta Fernandez;MAYORISTA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;48;2;92200
FEN B 0028-00000463;CORDOBA;07/04/2026;Julieta Fernandez;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;C4;50;1;61000
CEN A 0028-00000017;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;42;-6;-275400
FEN A 0028-00000198;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;42;6;275400
FEN A 0028-00000195;CORDOBA;29/04/2026;Sofia Perazzo;DISTRIBUIDORA;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;E1;42;6;275400
FEN B 0028-00000604;CORDOBA;20/04/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;61000
FEN A 0028-00000051;CORDOBA;04/03/2026;Sofia Perazzo;PUBLICO;MACATA SA;PANTALON CARGO ELASTIZADO PAMPERO FIT;U145;H3;42;1;56049,9999
